song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Honor Him,1:19,50.0,16.0,https://open.spotify.com/track/0p21vI2StdprWPtAGftM5c,https://p.scdn.co/mp3-preview/2f6daece6e34de8f0a9df50521282a410d17165d?cid=2490920ce5574a1a9b97a3e366c39dd3,Gladiator - Music From The Motion Picture,2000-04-25,17.0,https://i.scdn.co/image/ab67616d00001e02f3a2d7f692fcad25284c5f1e,https://open.spotify.com/album/0mN9E0N4bRBD7GKktlaRI0,The Lyndhurst Orchestra,https://open.spotify.com/artist/6djeIA7Gl9v9gvnpRc1eIF
Twilight Of The Thunder God,4:08,64.0,1.0,https://open.spotify.com/track/5u3l2TONYacJgmRPQVaF9y,https://p.scdn.co/mp3-preview/9e7ec9ec1ff9939bcc4bee396b286625c1193acf?cid=2490920ce5574a1a9b97a3e366c39dd3,Twilight Of The Thunder God,2008-09-30,10.0,https://i.scdn.co/image/ab67616d00001e029203fd1f5c23f0ad92ce63fa,https://open.spotify.com/album/3j0GCUTDz53x9Mzl8L1Fwz,Amon Amarth,https://open.spotify.com/artist/3pulcT2wt7FEG10lQlqDJL
Earth,3:01,42.0,4.0,https://open.spotify.com/track/1eRuo0cdRSqJClg7G6ZjdT,https://p.scdn.co/mp3-preview/fd4c0e19730cc4a67bfb06f2b089ca0e4424f75a?cid=2490920ce5574a1a9b97a3e366c39dd3,Gladiator - Music From The Motion Picture,2000-01-01,35.0,https://i.scdn.co/image/ab67616d00001e025e26ee959941f78ce85ac080,https://open.spotify.com/album/1yqkE2BoMZaQRABJRJT2HZ,The Lyndhurst Orchestra,https://open.spotify.com/artist/6djeIA7Gl9v9gvnpRc1eIF
The Pursuit Of Vikings,4:30,57.0,4.0,https://open.spotify.com/track/0sObxZUKqdPfgjG9ahSlP5,https://p.scdn.co/mp3-preview/2cec7937dd721879d795ade19fe818236cbcee96?cid=2490920ce5574a1a9b97a3e366c39dd3,Fate of Norns,2004,8.0,https://i.scdn.co/image/ab67616d00001e0295e7594a7df822c720d45867,https://open.spotify.com/album/6eQNR9fAkQUFiIwJOVLt8N,Amon Amarth,https://open.spotify.com/artist/3pulcT2wt7FEG10lQlqDJL
Scene Eight: The Spirit Carries On,6:38,54.0,11.0,https://open.spotify.com/track/7ycz6sgZWp4wvF53BZVTjE,https://p.scdn.co/mp3-preview/9f1d6e71c04eb70a7a93c7ad09ec3b9671225b9d?cid=2490920ce5574a1a9b97a3e366c39dd3,"Metropolis, Pt. 2: Scenes from a Memory",1999-01-01,12.0,https://i.scdn.co/image/ab67616d00001e02dbb83b10ff18df1213b76ac5,https://open.spotify.com/album/1QZi8laY96nhaeGSklvN4D,Dream Theater,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep
I Am Above,3:49,59.0,4.0,https://open.spotify.com/track/2t1G0rDxUY9zjML3f5mObb,https://p.scdn.co/mp3-preview/7cdb27249413fb9ccd8dcd51f0c646f81623f4b4?cid=2490920ce5574a1a9b97a3e366c39dd3,"I, the Mask",2019-03-01,12.0,https://i.scdn.co/image/ab67616d00001e02d4b51feaef809a84e5e8327d,https://open.spotify.com/album/3nE97EZ0zIx760XlDczMo7,In Flames,https://open.spotify.com/artist/57ylwQTnFnIhJh4nu4rxCs
Scene One: Regression,2:06,41.0,1.0,https://open.spotify.com/track/09Mb3uVnVmFCmm2uTSmVfU,https://p.scdn.co/mp3-preview/2650d17db5d6c2173156f2b7a5ac4e644a804df5?cid=2490920ce5574a1a9b97a3e366c39dd3,"Metropolis, Pt. 2: Scenes from a Memory",1999-01-01,12.0,https://i.scdn.co/image/ab67616d00001e02dbb83b10ff18df1213b76ac5,https://open.spotify.com/album/1QZi8laY96nhaeGSklvN4D,Dream Theater,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep
Only for the Weak,4:54,63.0,3.0,https://open.spotify.com/track/0JBQnLKfLXmlkquabLtAgd,https://p.scdn.co/mp3-preview/93fe87076729d0fd97424be93dd05a3cd345e9b4?cid=2490920ce5574a1a9b97a3e366c39dd3,Clayman,2000-07-03,13.0,https://i.scdn.co/image/ab67616d00001e0241ae9b691f3c18957c8fcdb1,https://open.spotify.com/album/1hVhTWO9hlpPr7T8ORczRd,In Flames,https://open.spotify.com/artist/57ylwQTnFnIhJh4nu4rxCs
Scene Two: I. Overture 1928,3:37,46.0,2.0,https://open.spotify.com/track/7CeF4VXPoaUbNB3NNHIXfM,https://p.scdn.co/mp3-preview/62a615807c4a7ef8d0a383a21265b144b0e29315?cid=2490920ce5574a1a9b97a3e366c39dd3,"Metropolis, Pt. 2: Scenes from a Memory",1999-01-01,12.0,https://i.scdn.co/image/ab67616d00001e02dbb83b10ff18df1213b76ac5,https://open.spotify.com/album/1QZi8laY96nhaeGSklvN4D,Dream Theater,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep
Cloud Connected,3:40,58.0,5.0,https://open.spotify.com/track/0dHogHUS4xgLOoFBt0ko1j,https://p.scdn.co/mp3-preview/a94320311b674ffce464221b6be0d76379bcefcf?cid=2490920ce5574a1a9b97a3e366c39dd3,Reroute to Remain,2002-09-02,14.0,https://i.scdn.co/image/ab67616d00001e02e388f5608715802c0421ecb8,https://open.spotify.com/album/2V5Jx67RInNn2v0LGihiWh,In Flames,https://open.spotify.com/artist/57ylwQTnFnIhJh4nu4rxCs
Scene Five: Through Her Eyes,5:29,46.0,7.0,https://open.spotify.com/track/19CegINw7X0pqHaY7YOaz8,https://p.scdn.co/mp3-preview/bda318cfd8945e30a2502673f0b21de020b9fd9c?cid=2490920ce5574a1a9b97a3e366c39dd3,"Metropolis, Pt. 2: Scenes from a Memory",1999-01-01,12.0,https://i.scdn.co/image/ab67616d00001e02dbb83b10ff18df1213b76ac5,https://open.spotify.com/album/1QZi8laY96nhaeGSklvN4D,Dream Theater,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep
Scene Three: I. Through My Words,1:02,42.0,4.0,https://open.spotify.com/track/0jr4vNJF3wDt0CNNmuq7Zt,https://p.scdn.co/mp3-preview/e1ca06cada2f7e82c4193249467ac3f5834d65e6?cid=2490920ce5574a1a9b97a3e366c39dd3,"Metropolis, Pt. 2: Scenes from a Memory",1999-01-01,12.0,https://i.scdn.co/image/ab67616d00001e02dbb83b10ff18df1213b76ac5,https://open.spotify.com/album/1QZi8laY96nhaeGSklvN4D,Dream Theater,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep
Scene Three: II. Fatal Tragedy,6:49,45.0,5.0,https://open.spotify.com/track/3ZZXgVY8u129jMvUc3mhti,https://p.scdn.co/mp3-preview/5532154b8a946e1bcec5ab7a51a634a29356dd5e?cid=2490920ce5574a1a9b97a3e366c39dd3,"Metropolis, Pt. 2: Scenes from a Memory",1999-01-01,12.0,https://i.scdn.co/image/ab67616d00001e02dbb83b10ff18df1213b76ac5,https://open.spotify.com/album/1QZi8laY96nhaeGSklvN4D,Dream Theater,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep
Scene Two: II. Strange Déjà Vu,5:12,47.0,3.0,https://open.spotify.com/track/6kQe8MBvSdX8AD1UsjRv7w,https://p.scdn.co/mp3-preview/81181a6b35b17a4e0ad8995dd282bb779c9344af?cid=2490920ce5574a1a9b97a3e366c39dd3,"Metropolis, Pt. 2: Scenes from a Memory",1999-01-01,12.0,https://i.scdn.co/image/ab67616d00001e02dbb83b10ff18df1213b76ac5,https://open.spotify.com/album/1QZi8laY96nhaeGSklvN4D,Dream Theater,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep
Deliver Us,3:30,51.0,2.0,https://open.spotify.com/track/0n4P0Jb7OSNvaVrtV0oZTH,https://p.scdn.co/mp3-preview/5e5ffab19eb8479a39a2bcfee46dcc0e860075ae?cid=2490920ce5574a1a9b97a3e366c39dd3,Sounds of a Playground Fading,2011-11-29,13.0,https://i.scdn.co/image/ab67616d00001e0274834493889f9d4dfd601061,https://open.spotify.com/album/5sntGYi5etQESPeKSa89JR,In Flames,https://open.spotify.com/artist/57ylwQTnFnIhJh4nu4rxCs
"I, the Mask",3:41,49.0,2.0,https://open.spotify.com/track/1UtEBed3vSJ9Yk7r3Hrc3c,https://p.scdn.co/mp3-preview/a7742a1c562499d3cc5173d103a7dc1299be2ee1?cid=2490920ce5574a1a9b97a3e366c39dd3,"I, the Mask",2019-03-01,12.0,https://i.scdn.co/image/ab67616d00001e02d4b51feaef809a84e5e8327d,https://open.spotify.com/album/3nE97EZ0zIx760XlDczMo7,In Flames,https://open.spotify.com/artist/57ylwQTnFnIhJh4nu4rxCs
Scene Four: Beyond This Life,11:22,44.0,6.0,https://open.spotify.com/track/28IUH0VA4gT9jcBwd6mEtC,https://p.scdn.co/mp3-preview/4180a735d8b2494f799a46117bcdac3fed73507a?cid=2490920ce5574a1a9b97a3e366c39dd3,"Metropolis, Pt. 2: Scenes from a Memory",1999-01-01,12.0,https://i.scdn.co/image/ab67616d00001e02dbb83b10ff18df1213b76ac5,https://open.spotify.com/album/1QZi8laY96nhaeGSklvN4D,Dream Theater,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep
Come Clarity,4:15,45.0,6.0,https://open.spotify.com/track/2z5lSCbzVRMrBpc8jJFSAZ,https://p.scdn.co/mp3-preview/5811e575dd3e9cd75b244c935b43d36f2ed3afce?cid=2490920ce5574a1a9b97a3e366c39dd3,Come Clarity,2006-02-03,13.0,https://i.scdn.co/image/ab67616d00001e021909382b1294cd831759c14a,https://open.spotify.com/album/2fLMg10IFuqgkmSlIAXjwu,In Flames,https://open.spotify.com/artist/57ylwQTnFnIhJh4nu4rxCs
The Mountain,4:24,46.0,1.0,https://open.spotify.com/track/5TxotO7jpRFwG1dR1suT7G,https://p.scdn.co/mp3-preview/5828efd88f1adbd650f220f6885e5bf48c137fc4?cid=2490920ce5574a1a9b97a3e366c39dd3,GUNSHIP,2015-07-24,13.0,https://i.scdn.co/image/ab67616d00001e02ff61b32d8807c35e7dd09aa7,https://open.spotify.com/album/03Rl4TjvJVdR2nBUupV7Wf,Gunship,https://open.spotify.com/artist/3PALZKWkpwjRvBsRmhlVSS
True Survivor,3:47,18.0,11.0,https://open.spotify.com/track/6CWnIJ2LM61ggbFEILAQ7O,https://p.scdn.co/mp3-preview/f4906b33f892a5a15a6d196e0ddd3adafd8480dd?cid=2490920ce5574a1a9b97a3e366c39dd3,Shadowplay,2015-09-25,12.0,https://i.scdn.co/image/ab67616d00001e023f6bd2caf0b74c2fa7bcebc4,https://open.spotify.com/album/5g0iPdxMTB7is4Haxv3Nrr,Dragony,https://open.spotify.com/artist/4ZGFYwFpBWxq6FxqilvRJT
