song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Obstacle 1,4:11,16.0,2.0,https://open.spotify.com/track/7GASUNtLpNwSmvLNkRSRiU,,Turn On The Bright Lights,2002,11.0,https://i.scdn.co/image/ab67616d00001e02b2035be3c9ae1488f01f914b,https://open.spotify.com/album/2SNck8dxnwrreCno34r9ji,Interpol,https://open.spotify.com/artist/3WaJSfKnzc65VDgmj2zU8B
Vittorio,3:55,45.0,1.0,https://open.spotify.com/track/403xU330P0QnP2k9gt2icn,https://p.scdn.co/mp3-preview/b461bb93b682c81af31bad7d520203436a153816?cid=2490920ce5574a1a9b97a3e366c39dd3,2XXX,2018-05-15,9.0,https://i.scdn.co/image/ab67616d00001e024414bce921a62126d40992b5,https://open.spotify.com/album/1lz0jZD6kF18GrXWWLPUEM,LEX,https://open.spotify.com/artist/3ObDUGvTK5W2QJqBQyIkm1
The Wondersmith and His Sons,3:35,27.0,1.0,https://open.spotify.com/track/3Sgq63eiQf1VMC7IEGgFDo,https://p.scdn.co/mp3-preview/2cd5b18a534eb6b0dcae9bd4f4f6853895183493?cid=2490920ce5574a1a9b97a3e366c39dd3,Pomegranate,2008-09-23,12.0,https://i.scdn.co/image/ab67616d00001e021316a689bc1fb34618df23d9,https://open.spotify.com/album/7Eavv4CuFcuMFZncnXkksb,Astronautalis,https://open.spotify.com/artist/6PWRJs1FosHp8Cqx0Nmswj
Dark City Dead Man,15:49,23.0,7.0,https://open.spotify.com/track/2vauvBj9LEzuFjHAhvhRai,https://p.scdn.co/mp3-preview/8d5c23ea71915bc1cdb90e9d3e82b79c5c12ceac?cid=2490920ce5574a1a9b97a3e366c39dd3,Somewhere Along The Highway,2006,7.0,https://i.scdn.co/image/ab67616d00001e025a5b03d38f54be96bbaa1491,https://open.spotify.com/album/23ISdAi8LzEGzhYETnQe8Q,Cult Of Luna,https://open.spotify.com/artist/7E7fJJpdVgr1F3pfAfRtHe
Little Black Submarines,4:11,65.0,4.0,https://open.spotify.com/track/1PXsUXSM3LF2XNSkmIldPb,https://p.scdn.co/mp3-preview/efdf4f0a648ca29cb6990e701c7b8b6a6cf040c3?cid=2490920ce5574a1a9b97a3e366c39dd3,El Camino,2011-12-06,11.0,https://i.scdn.co/image/ab67616d00001e026a21b97de47168df4f0c1993,https://open.spotify.com/album/5DLhV9yOvZ7IxVmljMXtNm,The Black Keys,https://open.spotify.com/artist/7mnBLXK823vNxN3UWB7Gfz
Odd Look,4:49,45.0,4.0,https://open.spotify.com/track/3T1CEAG5ukgdqGvQuXWzqI,https://p.scdn.co/mp3-preview/2542bf3062d3ed89f81d81d378a15f7822e6d6b8?cid=2490920ce5574a1a9b97a3e366c39dd3,OutRun,2013-01-01,13.0,https://i.scdn.co/image/ab67616d00001e021c08bca073e89ae32c68ffaa,https://open.spotify.com/album/3bRM4GQgoFjBRRzhp87Ugb,Kavinsky,https://open.spotify.com/artist/0UF7XLthtbSF2Eur7559oV
As Sure As The Sun,5:52,34.0,6.0,https://open.spotify.com/track/054IHyUigregF2gjkMoO7H,https://p.scdn.co/mp3-preview/11a76cb78f495e453cf707e2919e6c6efffebaa1?cid=2490920ce5574a1a9b97a3e366c39dd3,B.R.M.C.,2001,17.0,https://i.scdn.co/image/ab67616d00001e02de46985a1154ca0736e85ac9,https://open.spotify.com/album/5yMBrh34J9x9xG4NQN0DNk,Black Rebel Motorcycle Club,https://open.spotify.com/artist/1tpXaFf2F55E7kVJON4j4G
When It's Over,4:26,28.0,4.0,https://open.spotify.com/track/3Q6motjDfQGC684NYjddle,https://p.scdn.co/mp3-preview/016ce6c23f616ed2e917e88fc345ef269d415505?cid=2490920ce5574a1a9b97a3e366c39dd3,The Soft Moon,2010-11-23,11.0,https://i.scdn.co/image/ab67616d00001e02bfd91a6b10bc4ae2e12f53ca,https://open.spotify.com/album/47f4fYR89dSUgLY1UIpe49,The Soft Moon,https://open.spotify.com/artist/40HeNm05FEAxGx8gUOV4my
Mpompan,3:55,40.0,8.0,https://open.spotify.com/track/6xPcYrgxvTqlSDIc577XJC,https://p.scdn.co/mp3-preview/cda5a19e3ee4e15b1b000066d33e0f4677afd9f9?cid=2490920ce5574a1a9b97a3e366c39dd3,2XXX,2018-05-15,9.0,https://i.scdn.co/image/ab67616d00001e024414bce921a62126d40992b5,https://open.spotify.com/album/1lz0jZD6kF18GrXWWLPUEM,LEX,https://open.spotify.com/artist/3ObDUGvTK5W2QJqBQyIkm1
.Razoreater.,7:01,33.0,5.0,https://open.spotify.com/track/1zRhBVtQ6mKMpb8TXKYA0k,https://p.scdn.co/mp3-preview/581f6951568bdcc2f41f8b505ff6efebd2bbde84?cid=2490920ce5574a1a9b97a3e366c39dd3,Mass Iiii,2011-02-27,7.0,https://i.scdn.co/image/ab67616d00001e025df1d31c49354d27c2282660,https://open.spotify.com/album/0cz4QMBLYroCWCk9lYPex4,Amenra,https://open.spotify.com/artist/0N1jE1EIrhZjvQSfuLupUu
Harness Your Hopes,3:26,0.0,19.0,https://open.spotify.com/track/5n9hU4pr70dlE3thiQNcwV,,Brighten the Corners (Nicene Creedence Ed.) [Deluxe Edition],1997,44.0,https://i.scdn.co/image/ab67616d00001e0232880a08d3c58097b341f8bf,https://open.spotify.com/album/4xTtZ57fmoe6oNivjZouha,Pavement,https://open.spotify.com/artist/3inCNiUr4R6XQ3W43s9Aqi
Breathe the Fire,3:14,40.0,1.0,https://open.spotify.com/track/7qLDBd5iCh9xilyfdkn9v8,https://p.scdn.co/mp3-preview/701dcee169c6e63a74475e73da28e754e823d863?cid=2490920ce5574a1a9b97a3e366c39dd3,The Soft Moon,2010-11-23,11.0,https://i.scdn.co/image/ab67616d00001e02bfd91a6b10bc4ae2e12f53ca,https://open.spotify.com/album/47f4fYR89dSUgLY1UIpe49,The Soft Moon,https://open.spotify.com/artist/40HeNm05FEAxGx8gUOV4my
Red Flags And Long Nights,5:08,46.0,1.0,https://open.spotify.com/track/5e0vfjC19908HLerbfbEkv,https://p.scdn.co/mp3-preview/ac3698ee25f59cae5b2d5bb4e85b889341d37542?cid=2490920ce5574a1a9b97a3e366c39dd3,She Wants Revenge,2005-01-01,12.0,https://i.scdn.co/image/ab67616d00001e0216d59323e07d989e1b1d9fcc,https://open.spotify.com/album/0ikcvM61CScaAOSKHOralR,She Wants Revenge,https://open.spotify.com/artist/2zRt0sfxNnqI8gLR7d8gWt
Die World,4:33,40.0,1.0,https://open.spotify.com/track/3ZLFDPE35lm04kHyJEfkLV,https://p.scdn.co/mp3-preview/7520043873944a0920099a42d012f0e231d438d4?cid=2490920ce5574a1a9b97a3e366c39dd3,The World Is Getting Colder,2012-02-27,11.0,https://i.scdn.co/image/ab67616d00001e023203e3026ab4733374192d37,https://open.spotify.com/album/4IJBHdhLNFx7UC1AXsXJAO,Lebanon Hanover,https://open.spotify.com/artist/6w8h2uD28BEdg7bX4k3Lh7
